ExpDay,Treatment,mesocosm,Species,Genus,abund,size_fract,label,fun_grp,vol,biovolume
36,I,14,Chlamydomonas,Chlamydomonas,65.9166666666667,small,ChlChl000_5271004,I,512.692222223333,33794.9623148881
36,I,14,Chrysochromulina,Chrysochromulina,65.9166666666667,small,PryChr000_3202213,I,4353.10583333375,286942.226180583
36,I,14,Snowella,Snowella,56.5,small,CyaSno000_3217087,I,463.368055566667,26180.2951395167
36,I,14,Coelastrum,Coelastrum,18.8333333333333,small,ChlCoe000_7749802,IV,586.13333335,11038.8444447583
36,I,14,Tetraedron,Tetraedron,9.41666666666666,small,ChlTet000_2672378,IV,661.625,6230.30208333333
36,I,14,Sphaerocystis,Sphaerocystis,18.8333333333333,small,ChlSph000_2639562,I,262.068511908571,4935.62364094476
36,E,9,Merismopedia,Merismopedia,84,small,CyaMer000_0000000,I,57.9755208278333,4869.943749538
36,E,9,Desmodesmus,Desmodesmus,1047.78947368421,small,ChlDes000_2652440,IV,225.120555543333,235878.948408246
36,E,9,Elakatothrix gelatinosa,Elakatothrix,79.5789473684211,small,KleElagel_2641001,IV,157,12493.8947368421
36,E,9,Rhodomonas,Rhodomonas,305.052631578947,small,CryRho000_3202546,I,96.67765625,29491.7734539474
36,E,9,Oocystis,Oocystis,22.1052631578947,small,TreOoc000_2641454,IV,1180.14002970929,26087.3059198895
36,E,9,Sphaerocystis,Sphaerocystis,8.8421052631579,small,ChlSph000_2639562,I,262.068511908571,2317.23736845474
36,E,9,Ankyra judayi,Ankyra,8.8421052631579,small,ChlAnkjud_2642105,IV,112.8306667,997.660631873684
36,E,9,Quadrigula,Quadrigula,4.42105263157895,small,ChlQua000_2641259,IV,69.4288889,306.948771978947
36,E,9,Chrysochromulina,Chrysochromulina,75.1578947368421,small,PryChr000_3202213,I,4353.10583333375,327170.270000031
36,E,9,Cryptomonas,Cryptomonas,13.2631578947368,small,CryCry000_3202413,V,1644.2243666,21807.6073885895
36,E,9,Snowella,Snowella,70.7368421052632,small,CyaSno000_3217087,I,463.368055566667,32777.1929832421
36,E,9,Cyclotella,Cyclotella,101.684210526316,small,BacCyc000_3193095,VI,1359.03125,138192.019736842
36,E,9,Chlamydomonas,Chlamydomonas,22.1052631578947,small,ChlChl000_5271004,I,512.692222223333,11333.1964912526
36,E,9,Kirchneriella,Kirchneriella,8.8421052631579,small,ChlKir000_2641223,IV,131.618333315,1163.78315773263
36,E,9,Golenkinia radiata,Golenkinia,4.42105263157895,small,ChlGolrad_2641100,IV,1022.135417,4518.9144751579
36,E,9,Tetraedron,Tetraedron,4.42105263157895,small,ChlTet000_2672378,IV,661.625,2925.07894736842
36,C,10,Merismopedia,Merismopedia,76.5,small,CyaMer000_0000000,I,57.9755208278333,4435.12734332925
36,C,10,Cosmarium,Cosmarium,7.40322580645161,small,ZygCos000_2648709,IV,12272.1666666667,90853.6209677419
36,C,10,Desmodesmus,Desmodesmus,22.2096774193548,small,ChlDes000_2652440,IV,225.120555543333,4999.85491908339
36,C,10,Elakatothrix gelatinosa,Elakatothrix,172.741935483871,small,KleElagel_2641001,IV,157,27120.4838709677
36,C,10,Rhodomonas,Rhodomonas,148.064516129032,small,CryRho000_3202546,I,96.67765625,14314.5303931452
36,C,10,Cyclotella,Cyclotella,266.516129032258,small,BacCyc000_3193095,VI,1359.03125,362203.747983871
36,C,10,Quadrigula,Quadrigula,17.2741935483871,small,ChlQua000_2641259,IV,69.4288889,1199.32806470806
36,C,10,Kirchneriella,Kirchneriella,7.40322580645161,small,ChlKir000_2641223,IV,131.618333315,974.400241799758
36,C,10,Chrysochromulina,Chrysochromulina,39.4838709677419,small,PryChr000_3202213,I,4353.10583333375,171877.469032275
36,C,10,Chlamydomonas,Chlamydomonas,41.9516129032258,small,ChlChl000_5271004,I,512.692222223333,21508.2656452079
36,C,10,Snowella,Snowella,12.3387096774194,small,CyaSno000_3217087,I,463.368055566667,5717.36391142742
36,C,10,Golenkinia radiata,Golenkinia,17.2741935483871,small,ChlGolrad_2641100,IV,1022.135417,17656.5650259193
36,C,10,Sphaerocystis,Sphaerocystis,27.1451612903226,small,ChlSph000_2639562,I,262.068511908571,7113.89202487299
36,C,10,Cryptomonas,Cryptomonas,2.46774193548387,small,CryCry000_3202413,V,1644.2243666,4057.52142080323
36,C,10,Tetraedron,Tetraedron,4.93548387096774,small,ChlTet000_2672378,IV,661.625,3265.43951612903
